TAXON_ORDER,category,English name,scientific name
1,species,Common Ostrich,Struthio camelus
2,subspecies,,Struthio camelus camelus
3,subspecies,,Struthio camelus syriacus
4,subspecies,,Struthio camelus massaicus
5,subspecies,,Struthio camelus australis
6,species,Somali Ostrich,Struthio molybdophanes
7,slash,Common/Somali Ostrich,Struthio camelus/molybdophanes
8,species,Greater Rhea,Rhea americana
9,subspecies,,Rhea americana araneipes
10,subspecies,,Rhea americana americana
11,subspecies,,Rhea americana nobilis
12,subspecies,,Rhea americana albescens
13,subspecies,,Rhea americana intermedia
14,species,Lesser Rhea,Rhea pennata
15,group (polytypic),Lesser Rhea (Puna),Rhea pennata tarapacensis/garleppi
16,subspecies,,Rhea pennata garleppi
17,subspecies,,Rhea pennata tarapacensis
18,group (monotypic),Lesser Rhea (Darwin's),Rhea pennata pennata
19,species,Tawny-breasted Tinamou,Nothocercus julius
20,species,Highland Tinamou,Nothocercus bonapartei
21,group (polytypic),Highland Tinamou (South American),Nothocercus bonapartei [bonapartei Group]
22,subspecies,,Nothocercus bonapartei intercedens
23,subspecies,,Nothocercus bonapartei discrepans
24,subspecies,,Nothocercus bonapartei bonapartei
25,subspecies,,Nothocercus bonapartei plumbeiceps
26,group (monotypic),Highland Tinamou (Costa Rican),Nothocercus bonapartei frantzii
27,species,Hooded Tinamou,Nothocercus nigrocapillus
28,subspecies,,Nothocercus nigrocapillus cadwaladeri
29,subspecies,,Nothocercus nigrocapillus nigrocapillus
30,species,Gray Tinamou,Tinamus tao
31,subspecies,,Tinamus tao larensis
32,subspecies,,Tinamus tao kleei
33,subspecies,,Tinamus tao septentrionalis
34,subspecies,,Tinamus tao tao
35,species,Solitary Tinamou,Tinamus solitarius
36,species,Black Tinamou,Tinamus osgoodi
37,subspecies,,Tinamus osgoodi hershkovitzi
38,subspecies,,Tinamus osgoodi osgoodi
39,species,Great Tinamou,Tinamus major
40,subspecies,,Tinamus major robustus
41,subspecies,,Tinamus major percautus
42,subspecies,,Tinamus major fuscipennis
43,subspecies,,Tinamus major castaneiceps
44,subspecies,,Tinamus major brunneiventris
45,subspecies,,Tinamus major saturatus
46,subspecies,,Tinamus major latifrons
47,subspecies,,Tinamus major zuliensis
48,subspecies,,Tinamus major peruvianus
49,subspecies,,Tinamus major serratus
50,subspecies,,Tinamus major major
51,subspecies,,Tinamus major olivascens
52,species,White-throated Tinamou,Tinamus guttatus
53,spuh,Tinamus sp.,Tinamus sp.
54,species,Cinereous Tinamou,Crypturellus cinereus
55,species,Berlepsch's Tinamou,Crypturellus berlepschi
56,species,Little Tinamou,Crypturellus soui
57,subspecies,,Crypturellus soui meserythrus
58,subspecies,,Crypturellus soui modestus
59,subspecies,,Crypturellus soui capnodes
60,subspecies,,Crypturellus soui poliocephalus
61,subspecies,,Crypturellus soui panamensis
62,subspecies,,Crypturellus soui harterti
63,subspecies,,Crypturellus soui caucae
64,subspecies,,Crypturellus soui mustelinus
65,subspecies,,Crypturellus soui soui
66,subspecies,,Crypturellus soui caquetae
67,subspecies,,Crypturellus soui andrei
68,subspecies,,Crypturellus soui nigriceps
69,subspecies,,Crypturellus soui inconspicuus
70,subspecies,,Crypturellus soui albigularis
71,species,Tepui Tinamou,Crypturellus ptaritepui
72,species,Brown Tinamou,Crypturellus obsoletus
73,group (monotypic),Brown Tinamou (castaneus),Crypturellus obsoletus castaneus
74,group (polytypic),Brown Tinamou (Brown),Crypturellus obsoletus [obsoletus Group]
75,subspecies,,Crypturellus obsoletus ochraceiventris
76,subspecies,,Crypturellus obsoletus traylori
77,subspecies,,Crypturellus obsoletus punensis
78,subspecies,,Crypturellus obsoletus cerviniventris
79,subspecies,,Crypturellus obsoletus knoxi
80,subspecies,,Crypturellus obsoletus griseiventris
81,subspecies,,Crypturellus obsoletus hypochraceus
82,subspecies,,Crypturellus obsoletus obsoletus
83,species,Undulated Tinamou,Crypturellus undulatus
84,subspecies,,Crypturellus undulatus manapiare
85,subspecies,,Crypturellus undulatus simplex
86,subspecies,,Crypturellus undulatus yapura
87,subspecies,,Crypturellus undulatus vermiculatus
88,subspecies,,Crypturellus undulatus adspersus
89,subspecies,,Crypturellus undulatus undulatus
90,species,Pale-browed Tinamou,Crypturellus transfasciatus
91,species,Brazilian Tinamou,Crypturellus strigulosus
92,species,Gray-legged Tinamou,Crypturellus duidae
93,species,Red-legged Tinamou,Crypturellus erythropus
94,subspecies,,Crypturellus erythropus columbianus
95,subspecies,,Crypturellus erythropus saltuarius
96,subspecies,,Crypturellus erythropus idoneus
97,subspecies,,Crypturellus erythropus cursitans
98,subspecies,,Crypturellus erythropus spencei
99,subspecies,,Crypturellus erythropus margaritae
100,subspecies,,Crypturellus erythropus erythropus
101,species,Yellow-legged Tinamou,Crypturellus noctivagus
102,group (monotypic),Yellow-legged Tinamou (zabele),Crypturellus noctivagus zabele
103,group (monotypic),Yellow-legged Tinamou (noctivagus),Crypturellus noctivagus noctivagus
104,species,Black-capped Tinamou,Crypturellus atrocapillus
105,subspecies,,Crypturellus atrocapillus atrocapillus
106,subspecies,,Crypturellus atrocapillus garleppi
107,species,Slaty-breasted Tinamou,Crypturellus boucardi
108,subspecies,,Crypturellus boucardi boucardi
109,subspecies,,Crypturellus boucardi costaricensis
110,species,Choco Tinamou,Crypturellus kerriae
111,species,Variegated Tinamou,Crypturellus variegatus
112,species,Thicket Tinamou,Crypturellus cinnamomeus
113,group (monotypic),Thicket Tinamou (occidentalis),Crypturellus cinnamomeus occidentalis
114,group (polytypic),Thicket Tinamou (cinnamomeus Group),Crypturellus cinnamomeus [cinnamomeus Group]
115,subspecies,,Crypturellus cinnamomeus soconuscensis
116,subspecies,,Crypturellus cinnamomeus mexicanus
117,subspecies,,Crypturellus cinnamomeus sallaei
118,subspecies,,Crypturellus cinnamomeus goldmani
119,subspecies,,Crypturellus cinnamomeus vicinior
120,subspecies,,Crypturellus cinnamomeus cinnamomeus
121,subspecies,,Crypturellus cinnamomeus delattrii
122,subspecies,,Crypturellus cinnamomeus praepes
123,species,Rusty Tinamou,Crypturellus brevirostris
124,species,Bartlett's Tinamou,Crypturellus bartletti
125,species,Small-billed Tinamou,Crypturellus parvirostris
126,species,Barred Tinamou,Crypturellus casiquiare
127,species,Tataupa Tinamou,Crypturellus tataupa
128,subspecies,,Crypturellus tataupa inops
129,subspecies,,Crypturellus tataupa peruvianus
130,subspecies,,Crypturellus tataupa lepidotus
131,subspecies,,Crypturellus tataupa tataupa
132,spuh,Crypturellus sp.,Crypturellus sp.
133,species,Red-winged Tinamou,Rhynchotus rufescens
134,subspecies,,Rhynchotus rufescens catingae
135,subspecies,,Rhynchotus rufescens rufescens
136,subspecies,,Rhynchotus rufescens pallescens
137,species,Huayco Tinamou,Rhynchotus maculicollis
138,species,Taczanowski's Tinamou,Nothoprocta taczanowskii
139,species,Ornate Tinamou,Nothoprocta ornata
140,subspecies,,Nothoprocta ornata branickii
141,subspecies,,Nothoprocta ornata ornata
142,subspecies,,Nothoprocta ornata rostrata
143,species,Chilean Tinamou,Nothoprocta perdicaria
144,subspecies,,Nothoprocta perdicaria perdicaria
145,subspecies,,Nothoprocta perdicaria sanborni
146,species,Brushland Tinamou,Nothoprocta cinerascens
147,subspecies,,Nothoprocta cinerascens cinerascens
148,subspecies,,Nothoprocta cinerascens parvimaculata
149,species,Andean Tinamou,Nothoprocta pentlandii
150,subspecies,,Nothoprocta pentlandii ambigua
151,subspecies,,Nothoprocta pentlandii oustaleti
152,subspecies,,Nothoprocta pentlandii niethammeri
153,subspecies,,Nothoprocta pentlandii fulvescens
154,subspecies,,Nothoprocta pentlandii pentlandii
155,subspecies,,Nothoprocta pentlandii doeringi
156,subspecies,,Nothoprocta pentlandii mendozae
157,species,Curve-billed Tinamou,Nothoprocta curvirostris
158,subspecies,,Nothoprocta curvirostris curvirostris
159,subspecies,,Nothoprocta curvirostris peruviana
160,spuh,Nothoprocta sp.,Nothoprocta sp.
161,species,White-bellied Nothura,Nothura boraquira
162,species,Lesser Nothura,Nothura minor
163,species,Darwin's Nothura,Nothura darwinii
164,subspecies,,Nothura darwinii peruviana
165,subspecies,,Nothura darwinii agassizii
166,subspecies,,Nothura darwinii boliviana
167,subspecies,,Nothura darwinii salvadorii
168,subspecies,,Nothura darwinii darwinii
169,species,Spotted Nothura,Nothura maculosa
170,subspecies,,Nothura maculosa cearensis
171,subspecies,,Nothura maculosa major
172,subspecies,,Nothura maculosa chacoensis
173,subspecies,,Nothura maculosa paludivaga
174,subspecies,,Nothura maculosa maculosa
175,subspecies,,Nothura maculosa pallida
176,subspecies,,Nothura maculosa annectens
177,subspecies,,Nothura maculosa submontana
178,subspecies,,Nothura maculosa nigroguttata
179,species,Dwarf Tinamou,Taoniscus nanus
180,species,Elegant Crested-Tinamou,Eudromia elegans
181,subspecies,,Eudromia elegans intermedia
182,subspecies,,Eudromia elegans magnistriata
183,subspecies,,Eudromia elegans riojana
184,subspecies,,Eudromia elegans albida
185,subspecies,,Eudromia elegans wetmorei
186,subspecies,,Eudromia elegans devia
187,subspecies,,Eudromia elegans numida
188,subspecies,,Eudromia elegans multiguttata
189,subspecies,,Eudromia elegans elegans
190,subspecies,,Eudromia elegans patagonica
191,species,Quebracho Crested-Tinamou,Eudromia formosa
192,subspecies,,Eudromia formosa mira
193,subspecies,,Eudromia formosa formosa
194,species,Puna Tinamou,Tinamotis pentlandii
195,species,Patagonian Tinamou,Tinamotis ingoufi
196,spuh,tinamou sp.,Tinamidae sp.
197,species,Southern Cassowary,Casuarius casuarius
198,species,Dwarf Cassowary,Casuarius bennetti
199,species,Northern Cassowary,Casuarius unappendiculatus
200,species,Emu,Dromaius novaehollandiae
201,subspecies,,Dromaius novaehollandiae novaehollandiae
202,subspecies,,Dromaius novaehollandiae baudinianus
203,subspecies,,Dromaius novaehollandiae minor
204,subspecies,,Dromaius novaehollandiae diemenensis
205,species,Southern Brown Kiwi,Apteryx australis
206,group (monotypic),Southern Brown Kiwi (South I.),Apteryx australis australis
207,group (monotypic),Southern Brown Kiwi (Stewart I.),Apteryx australis lawryi
208,species,Okarito Brown Kiwi,Apteryx rowi
209,species,North Island Brown Kiwi,Apteryx mantelli
210,species,Little Spotted Kiwi,Apteryx owenii
211,species,Great Spotted Kiwi,Apteryx haastii
212,species,Horned Screamer,Anhima cornuta
213,species,Southern Screamer,Chauna torquata
214,species,Northern Screamer,Chauna chavaria
215,species,Magpie Goose,Anseranas semipalmata
216,species,Spotted Whistling-Duck,Dendrocygna guttata
217,species,Plumed Whistling-Duck,Dendrocygna eytoni
218,species,White-faced Whistling-Duck,Dendrocygna viduata
219,hybrid,Spotted x White-faced Whistling-Duck (hybrid),Dendrocygna guttata x viduata
220,species,Black-bellied Whistling-Duck,Dendrocygna autumnalis
221,group (monotypic),Black-bellied Whistling-Duck (fulgens),Dendrocygna autumnalis fulgens
222,group (monotypic),Black-bellied Whistling-Duck (autumnalis),Dendrocygna autumnalis autumnalis
223,species,West Indian Whistling-Duck,Dendrocygna arborea
224,hybrid,Black-bellied x West Indian Whistling-Duck (hybrid),Dendrocygna autumnalis x arborea
225,species,Fulvous Whistling-Duck,Dendrocygna bicolor
226,hybrid,White-faced x Fulvous Whistling-Duck (hybrid),Dendrocygna viduata x bicolor
227,hybrid,Black-bellied x Fulvous Whistling-Duck (hybrid),Dendrocygna autumnalis x bicolor
228,species,Wandering Whistling-Duck,Dendrocygna arcuata
229,subspecies,,Dendrocygna arcuata arcuata
230,subspecies,,Dendrocygna arcuata australis
231,subspecies,,Dendrocygna arcuata pygmaea
232,species,Lesser Whistling-Duck,Dendrocygna javanica
233,slash,Fulvous/Lesser Whistling-Duck,Dendrocygna bicolor/javanica
234,spuh,whistling-duck sp.,Dendrocygna sp.
235,species,White-backed Duck,Thalassornis leuconotus
236,subspecies,,Thalassornis leuconotus leuconotus
237,subspecies,,Thalassornis leuconotus insularis
238,species,Bar-headed Goose,Anser indicus
239,species,Emperor Goose,Anser canagicus
240,species,Snow Goose,Anser caerulescens
241,subspecies,,Anser caerulescens caerulescens
242,subspecies,,Anser caerulescens atlanticus
243,species,Ross's Goose,Anser rossii
244,hybrid,Snow x Ross's Goose (hybrid),Anser caerulescens x rossii
245,slash,Snow/Ross's Goose,Anser caerulescens/rossii
246,species,Graylag Goose,Anser anser
247,group (monotypic),Graylag Goose (European),Anser anser anser
248,group (monotypic),Graylag Goose (Siberian),Anser anser rubrirostris
249,domestic,Graylag Goose (Domestic type),Anser anser (Domestic type)
250,species,Swan Goose,Anser cygnoides
251,domestic,Swan Goose (Domestic type),Anser cygnoides (Domestic type)
252,hybrid,Graylag x Swan Goose (Domestic type) (hybrid),Anser anser x cygnoides (Domestic type)
253,species,Greater White-fronted Goose,Anser albifrons
254,group (monotypic),Greater White-fronted Goose (Greenland),Anser albifrons flavirostris
255,group (monotypic),Greater White-fronted Goose (Eurasian),Anser albifrons albifrons
256,group (polytypic),Greater White-fronted Goose (Western),Anser albifrons gambelli/sponsa
257,subspecies,,Anser albifrons gambelli
258,subspecies,,Anser albifrons sponsa
259,group (monotypic),Greater White-fronted Goose (Tule),Anser albifrons elgasi
260,hybrid,Bar-headed x Greater White-fronted Goose (hybrid),Anser indicus x albifrons
261,hybrid,Snow x Greater White-fronted Goose (hybrid),Anser caerulescens x albifrons
262,species,Lesser White-fronted Goose,Anser erythropus
263,slash,Greater/Lesser White-fronted Goose,Anser albifrons/erythropus
264,species,Taiga Bean-Goose,Anser fabalis
265,subspecies,,Anser fabalis fabalis
266,subspecies,,Anser fabalis johanseni
267,subspecies,,Anser fabalis middendorffii
268,species,Tundra Bean-Goose,Anser serrirostris
269,subspecies,,Anser serrirostris rossicus
270,subspecies,,Anser serrirostris serrirostris
271,slash,Taiga/Tundra Bean-Goose,Anser fabalis/serrirostris
272,species,Pink-footed Goose,Anser brachyrhynchus
273,domestic,Domestic goose sp. (Domestic type),Anser sp. (Domestic type)
274,spuh,Anser sp.,Anser sp.
275,species,Brant,Branta bernicla
276,group (monotypic),Brant (Dark-bellied),Branta bernicla bernicla
277,group (monotypic),Brant (Atlantic),Branta bernicla hrota
278,group (monotypic),Brant (Black),Branta bernicla nigricans
279,form,Brant (Gray-bellied),Branta bernicla (Gray-bellied)
280,intergrade,Brant (Atlantic x Black),Branta bernicla hrota x nigricans
281,hybrid,Snow Goose x Brant (hybrid),Anser caerulescens x Branta bernicla
282,species,Barnacle Goose,Branta leucopsis
283,hybrid,Pink-footed x Barnacle Goose (hybrid),Anser brachyrhynchus x Branta leucopsis
284,hybrid,Greater White-fronted x Barnacle Goose (hybrid),Anser albifrons x Branta leucopsis
285,hybrid,Graylag x Barnacle Goose (hybrid),Anser anser x Branta leucopsis
286,species,Cackling Goose,Branta hutchinsii
287,group (monotypic),Cackling Goose (Aleutian),Branta hutchinsii leucopareia
288,group (monotypic),Cackling Goose (Richardson's),Branta hutchinsii hutchinsii
289,group (monotypic),Cackling Goose (minima),Branta hutchinsii minima
290,group (monotypic),Cackling Goose (Taverner's),Branta hutchinsii taverneri
291,hybrid,Emperor x Cackling Goose (hybrid),Anser canagicus x Branta hutchinsii
292,hybrid,Snow x Cackling Goose (hybrid),Anser caerulescens x Branta hutchinsii
293,hybrid,Ross's x Cackling Goose (hybrid),Anser rossii x Branta hutchinsii
294,hybrid,Brant x Cackling Goose (hybrid),Branta bernicla x hutchinsii
295,hybrid,Greater White-fronted x Cackling Goose (hybrid),Anser albifrons x Branta hutchinsii
296,hybrid,Barnacle x Cackling Goose (hybrid),Branta leucopsis x hutchinsii
297,species,Canada Goose,Branta canadensis
298,group (polytypic),Canada Goose (moffitti/maxima),Branta canadensis moffitti/maxima
299,subspecies,,Branta canadensis moffitti
300,subspecies,,Branta canadensis maxima
301,group (polytypic),Canada Goose (occidentalis/fulva),Branta canadensis occidentalis/fulva
302,subspecies,,Branta canadensis occidentalis
303,subspecies,,Branta canadensis fulva
304,group (polytypic),Canada Goose (canadensis Group),Branta canadensis [canadensis Group]
305,subspecies,,Branta canadensis parvipes
306,subspecies,,Branta canadensis canadensis
307,subspecies,,Branta canadensis interior
308,hybrid,Bar-headed x Canada Goose (hybrid),Anser indicus x Branta canadensis
309,hybrid,Swan Goose (Domestic type) x Canada Goose (hybrid),Anser cygnoides (Domestic type) x Branta canadensis
310,hybrid,Pink-footed x Canada Goose (hybrid),Anser brachyrhynchus x Branta canadensis
311,hybrid,Greater White-fronted x Canada Goose (hybrid),Anser albifrons x Branta canadensis
312,hybrid,Graylag x Canada Goose (hybrid),Anser anser x Branta canadensis
313,hybrid,Graylag Goose (Domestic type) x Canada Goose (hybrid),Anser anser (Domestic type) x Branta canadensis
314,hybrid,Domestic goose sp. (Domestic type) x Canada Goose (hybrid),Anser sp. (Domestic type) x Branta canadensis
315,hybrid,Snow x Canada Goose (hybrid),Anser caerulescens x Branta canadensis
316,hybrid,Ross's x Canada Goose (hybrid),Anser rossii x Branta canadensis
317,hybrid,Barnacle x Canada Goose (hybrid),Branta leucopsis x canadensis
318,slash,Cackling/Canada Goose,Branta hutchinsii/canadensis
319,hybrid,Snow/Ross's x Cackling/Canada Goose (hybrid),Anser caerulescens/rossii x Branta hutchinsii/canadensis
320,species,Hawaiian Goose,Branta sandvicensis
321,species,Red-breasted Goose,Branta ruficollis
322,hybrid,Greater White-fronted x Red-breasted Goose (hybrid),Anser albifrons x Branta ruficollis
323,spuh,Branta sp.,Branta sp.
324,spuh,goose sp.,Anser/Branta sp.
325,species,Cape Barren Goose,Cereopsis novaehollandiae
326,subspecies,,Cereopsis novaehollandiae grisea
327,subspecies,,Cereopsis novaehollandiae novaehollandiae
328,species,Freckled Duck,Stictonetta naevosa
329,species,Blue-winged Goose,Cyanochen cyanoptera
330,species,Mute Swan,Cygnus olor
331,species,Black Swan,Cygnus atratus
332,species,Black-necked Swan,Cygnus melancoryphus
333,species,Trumpeter Swan,Cygnus buccinator
334,hybrid,Mute x Trumpeter Swan (hybrid),Cygnus olor x buccinator
335,species,Tundra Swan,Cygnus columbianus
336,group (monotypic),Tundra Swan (Whistling),Cygnus columbianus columbianus
337,group (monotypic),Tundra Swan (Bewick's),Cygnus columbianus bewickii
338,intergrade,Tundra Swan (Whistling x Bewick's),Cygnus columbianus columbianus x bewickii
339,hybrid,Trumpeter x Tundra Swan (hybrid),Cygnus buccinator x columbianus
340,slash,Trumpeter/Tundra Swan,Cygnus buccinator/columbianus
341,species,Whooper Swan,Cygnus cygnus
342,hybrid,Trumpeter x Whooper Swan (hybrid),Cygnus buccinator x cygnus
343,slash,Tundra/Whooper Swan,Cygnus columbianus/cygnus
344,spuh,swan sp.,Cygnus sp.
345,species,Coscoroba Swan,Coscoroba coscoroba
346,species,Knob-billed Duck,Sarkidiornis melanotos
347,species,Comb Duck,Sarkidiornis sylvicola
348,species,Hartlaub's Duck,Pteronetta hartlaubii
349,species,Orinoco Goose,Oressochen jubatus
350,species,Andean Goose,Oressochen melanopterus
351,species,Upland Goose,Chloephaga picta
352,subspecies,,Chloephaga picta picta
353,subspecies,,Chloephaga picta leucoptera
354,form,Upland Goose (White-breasted),Chloephaga picta (White-breasted)
355,form,Upland Goose (Bar-breasted),Chloephaga picta (Bar-breasted)
356,species,Kelp Goose,Chloephaga hybrida
357,subspecies,,Chloephaga hybrida hybrida
358,subspecies,,Chloephaga hybrida malvinarum
359,species,Ashy-headed Goose,Chloephaga poliocephala
360,species,Ruddy-headed Goose,Chloephaga rubidiceps
361,spuh,Chloephaga sp.,Chloephaga sp.
362,species,Radjah Shelduck,Radjah radjah
363,subspecies,,Radjah radjah radjah
364,subspecies,,Radjah radjah rufitergum
365,species,Egyptian Goose,Alopochen aegyptiaca
366,species,Mauritius Shelduck,Alopochen mauritiana
367,species,Reunion Shelduck,Alopochen kervazoi
368,species,Ruddy Shelduck,Tadorna ferruginea
369,species,South African Shelduck,Tadorna cana
370,species,Australian Shelduck,Tadorna tadornoides
371,species,Paradise Shelduck,Tadorna variegata
372,species,Common Shelduck,Tadorna tadorna
373,hybrid,Ruddy x Common Shelduck (hybrid),Tadorna ferruginea x tadorna
374,species,Crested Shelduck,Tadorna cristata
375,species,Spur-winged Goose,Plectropterus gambensis
376,group (monotypic),Spur-winged Goose (Northern),Plectropterus gambensis gambensis
377,group (monotypic),Spur-winged Goose (Southern),Plectropterus gambensis niger
378,species,Flying Steamer-Duck,Tachyeres patachonicus
379,species,Flightless Steamer-Duck,Tachyeres pteneres
380,form,Flightless Steamer-Duck (Chiloe form),Tachyeres pteneres [undescribed form]
381,species,Falkland Steamer-Duck,Tachyeres brachypterus
382,species,White-headed Steamer-Duck,Tachyeres leucocephalus
383,spuh,steamer-duck sp.,Tachyeres sp.
384,species,Crested Duck,Lophonetta specularioides
385,subspecies,,Lophonetta specularioides alticola
386,subspecies,,Lophonetta specularioides specularioides
387,species,Spectacled Duck,Speculanas specularis
388,species,Muscovy Duck,Cairina moschata
389,domestic,Muscovy Duck (Established Feral),Cairina moschata (Established Feral)
390,domestic,Muscovy Duck (Domestic type),Cairina moschata (Domestic type)
391,species,Green Pygmy-Goose,Nettapus pulchellus
392,species,Cotton Pygmy-Goose,Nettapus coromandelianus
393,subspecies,,Nettapus coromandelianus coromandelianus
394,subspecies,,Nettapus coromandelianus albipennis
395,species,African Pygmy-Goose,Nettapus auritus
396,species,Ringed Teal,Callonetta leucophrys
397,species,Wood Duck,Aix sponsa
398,hybrid,Common Shelduck x Wood Duck (hybrid),Tadorna tadorna x Aix sponsa
399,species,Mandarin Duck,Aix galericulata
400,hybrid,Wood x Mandarin Duck (hybrid),Aix sponsa x galericulata
401,species,Maned Duck,Chenonetta jubata
402,species,Finsch's Duck,Chenonetta finschi
403,species,Brazilian Teal,Amazonetta brasiliensis
404,subspecies,,Amazonetta brasiliensis brasiliensis
405,subspecies,,Amazonetta brasiliensis ipecutiri
406,species,Blue Duck,Hymenolaimus malacorhynchos
407,species,Torrent Duck,Merganetta armata
408,subspecies,,Merganetta armata colombiana
409,subspecies,,Merganetta armata leucogenis
410,subspecies,,Merganetta armata turneri
411,subspecies,,Merganetta armata garleppi
412,subspecies,,Merganetta armata berlepschi
413,subspecies,,Merganetta armata armata
414,species,Salvadori's Teal,Salvadorina waigiuensis
415,species,Baikal Teal,Sibirionetta formosa
416,species,Garganey,Spatula querquedula
417,species,Hottentot Teal,Spatula hottentota
418,species,Silver Teal,Spatula versicolor
419,subspecies,,Spatula versicolor versicolor
420,subspecies,,Spatula versicolor fretensis
421,species,Puna Teal,Spatula puna
422,species,Blue-winged Teal,Spatula discors
423,species,Cinnamon Teal,Spatula cyanoptera
424,subspecies,,Spatula cyanoptera septentrionalium
425,subspecies,,Spatula cyanoptera tropica
426,subspecies,,Spatula cyanoptera borreroi
427,subspecies,,Spatula cyanoptera orinoma
428,subspecies,,Spatula cyanoptera cyanoptera
429,hybrid,Blue-winged x Cinnamon Teal (hybrid),Spatula discors x cyanoptera
430,slash,Blue-winged/Cinnamon Teal,Spatula discors/cyanoptera
431,species,Red Shoveler,Spatula platalea
432,species,Cape Shoveler,Spatula smithii
433,species,Australian Shoveler,Spatula rhynchotis
434,species,Northern Shoveler,Spatula clypeata
435,hybrid,Garganey x Northern Shoveler (hybrid),Spatula querquedula x clypeata
436,hybrid,Blue-winged Teal x Northern Shoveler (hybrid),Spatula discors x clypeata
437,hybrid,Cinnamon Teal x Northern Shoveler (hybrid),Spatula cyanoptera x clypeata
438,species,Gadwall,Mareca strepera
439,group (monotypic),Gadwall (Common),Mareca strepera strepera
440,group (monotypic),Gadwall (Coues's),Mareca strepera couesi
441,hybrid,Northern Shoveler x Gadwall (hybrid),Spatula clypeata x Mareca strepera
442,species,Falcated Duck,Mareca falcata
443,species,Eurasian Wigeon,Mareca penelope
444,hybrid,Gadwall x Eurasian Wigeon (hybrid),Mareca strepera x penelope
445,species,American Wigeon,Mareca americana
446,hybrid,Wood Duck x American Wigeon (hybrid),Aix sponsa x Mareca americana
447,hybrid,Northern Shoveler x American Wigeon (hybrid),Spatula clypeata x Mareca americana
448,hybrid,Gadwall x American Wigeon (hybrid),Mareca strepera x americana
449,hybrid,Eurasian x American Wigeon (hybrid),Mareca penelope x americana
450,slash,Eurasian/American Wigeon,Mareca penelope/americana
451,species,Chiloe Wigeon,Mareca sibilatrix
452,species,Amsterdam Duck,Mareca marecula
453,species,African Black Duck,Anas sparsa
454,subspecies,,Anas sparsa leucostigma
455,subspecies,,Anas sparsa sparsa
456,species,Yellow-billed Duck,Anas undulata
457,subspecies,,Anas undulata undulata
458,subspecies,,Anas undulata ruppelli
459,species,Meller's Duck,Anas melleri
460,species,Pacific Black Duck,Anas superciliosa
461,subspecies,,Anas superciliosa superciliosa
462,subspecies,,Anas superciliosa pelewensis
463,species,Laysan Duck,Anas laysanensis
464,species,Hawaiian Duck,Anas wyvilliana
465,species,Philippine Duck,Anas luzonica
466,species,Indian Spot-billed Duck,Anas poecilorhyncha
467,subspecies,,Anas poecilorhyncha poecilorhyncha
468,subspecies,,Anas poecilorhyncha haringtoni
469,species,Eastern Spot-billed Duck,Anas zonorhyncha
470,slash,Indian/Eastern Spot-billed Duck,Anas poecilorhyncha/zonorhyncha
471,species,Mallard,Anas platyrhynchos
472,subspecies,,Anas platyrhynchos platyrhynchos
473,subspecies,,Anas platyrhynchos conboschas
474,domestic,Mallard (Domestic type),Anas platyrhynchos (Domestic type)
475,hybrid,Muscovy Duck x Mallard (hybrid),Cairina moschata x Anas platyrhynchos
476,hybrid,Wood Duck x Mallard (hybrid),Aix sponsa x Anas platyrhynchos
477,hybrid,Northern Shoveler x Mallard (hybrid),Spatula clypeata x Anas platyrhynchos
478,hybrid,Gadwall x Mallard (hybrid),Mareca strepera x Anas platyrhynchos
479,hybrid,Eurasian Wigeon x Mallard (hybrid),Mareca penelope x Anas platyrhynchos
480,hybrid,American Wigeon x Mallard (hybrid),Mareca americana x Anas platyrhynchos
481,hybrid,Yellow-billed Duck x Mallard (hybrid),Anas undulata x platyrhynchos
482,hybrid,Mallard x Pacific Black Duck (hybrid),Anas platyrhynchos x superciliosa
483,hybrid,Mallard x Hawaiian Duck (hybrid),Anas platyrhynchos x wyvilliana
484,hybrid,Mallard x Indian Spot-billed Duck (hybrid),Anas platyrhynchos x poecilorhyncha
485,hybrid,Mallard x Eastern Spot-billed Duck (hybrid),Anas platyrhynchos x zonorhyncha
486,slash,Mallard/Pacific Black Duck,Anas platyrhynchos/superciliosa
487,slash,Mallard/Hawaiian Duck,Anas platyrhynchos/wyvilliana
488,slash,Mallard/Indian Spot-billed Duck,Anas platyrhynchos/poecilorhyncha
489,slash,Mallard/Eastern Spot-billed Duck,Anas platyrhynchos/zonorhyncha
490,species,Mexican Duck,Anas diazi
491,hybrid,Mallard x Mexican Duck (hybrid),Anas platyrhynchos x diazi
492,slash,Mallard/Mexican Duck,Anas platyrhynchos/diazi
493,species,American Black Duck,Anas rubripes
494,hybrid,American Wigeon x American Black Duck (hybrid),Mareca americana x Anas rubripes
495,hybrid,Mallard x American Black Duck (hybrid),Anas platyrhynchos x rubripes
496,slash,Mallard/American Black Duck,Anas platyrhynchos/rubripes
497,species,Mottled Duck,Anas fulvigula
498,group (monotypic),Mottled Duck (Florida),Anas fulvigula fulvigula
499,group (monotypic),Mottled Duck (Gulf Coast),Anas fulvigula maculosa
500,hybrid,Mallard x Mottled Duck (hybrid),Anas platyrhynchos x fulvigula
501,slash,Mallard/Mottled Duck,Anas platyrhynchos/fulvigula
502,hybrid,Mallard x Mexican/Mottled Duck (hybrid),Anas platyrhynchos x diazi/fulvigula
503,hybrid,Mexican x Mottled Duck (hybrid),Anas diazi x fulvigula
504,slash,Mexican/Mottled Duck,Anas diazi/fulvigula
